Domaine Principal,Type,Description,Sous-domaine,Type Sous-domaine,Description Sous-domaine,Verbe de liaison,Informations détaillées

SQUAD / COMMUNAUTÉS DE PRATIQUES,Domaine Principal,Espaces de collaboration d'échange et de partage de connaissances entre les équipes.,Collaboration & Knowledge Sharing,Sous-domaine de SQUAD,Facilitation du partage de connaissances et d'expertise entre les équipes.,is part of,
"1. Communautés de pratique: Créer des espaces d'échange pour mutualiser l'expertise et diffuser les innovations à travers l'organisation.
2. Mentorat et pair programming: Favoriser l'accompagnement mutuel et le transfert de savoir-faire au sein des équipes.
3. Transversalité des projets: Encourager la coopération entre différents Squads métiers et fonctions pour enrichir les perspectives.
4. Sessions de partage: Organiser régulièrement des présentations brown bag lunches ou démos pour valoriser le travail accompli et partager les apprentissages.
5. Plateformes collaboratives: Mettre à disposition des outils (wikis bases de connaissances forums) pour centraliser la documentation et encourager l'entraide."
SQUAD / COMMUNAUTÉS DE PRATIQUES,Domaine Principal,Espaces de collaboration d'échange et de partage de connaissances entre les équipes.,CONTINUOUS IMPROVEMENT,Sous-domaine de SQUAD,Amélioration progressive des processus méthodes et pratiques.,is part of,"1. Boucles de feedback régulières: Permettre aux équipes de partager et d'intégrer les retours en continu pour affiner les processus.
2. Culture de la rétroaction: Encourager les Rétrospectives les bilans post-projets et l'analyse des erreurs pour progresser.
3. Évaluation constante des pratiques: Suivre des indicateurs de performance et ajuster les méthodes de travail en temps réel.
4. Amélioration progressive des process: Mettre à jour les standards et routines dès qu'une piste d'optimisation est identifiée.
5. Adaptation rapide au changement: Instaurer un climat de souplesse où les nouvelles idées sont testées et ajustées sans lourdeur."
SQUAD / COMMUNAUTÉS DE PRATIQUES,Domaine Principal,Espaces de collaboration d'échange et de partage de connaissances entre les équipes.,INNOVATION IDEAS,Sous-domaine de SQUAD,Exploration et expérimentation de nouvelles approches et technologies.,is part of,"1. Veille technologique active: Rester à l'affût des nouvelles tendances et outils pour anticiper les évolutions du marché.
2. Expérimentations et POC: Lancer des prototypes ou pilotes pour valider rapidement la faisabilité et la valeur d'une idée.
3. Sessions créatives: Organiser des hackathons design sprints ou ateliers d'idéation pour stimuler la créativité collective.
4. Capitalisation des découvertes: Documenter et partager les enseignements tirés de chaque expérimentation afin de nourrir la culture d'innovation.
5. Promotion de l'intrapreneuriat: Encourager les collaborateurs à proposer et à porter leurs projets soutenus par les communautés expertes."
SQUAD / COMMUNAUTÉS DE PRATIQUES,Domaine Principal,Espaces de collaboration d'échange et de partage de connaissances entre les équipes.,GUIDELINES,Sous-domaine de SQUAD,Normes et standards qui encadrent les pratiques des équipes.,is part of,"1. Standardisation des pratiques: Définir des référentiels communs (ex. : conventions de code checklist de tests) pour garantir la cohérence.
2. Documentation évolutive: Mettre à disposition des guides clairs et régulièrement mis à jour pour faciliter l'onboarding et la montée en compétences.
3. Référentiels de qualité: Établir des critères partagés pour valider la robustesse et la maintenabilité des livrables.
4. Transmission de bonnes pratiques: Formaliser les patterns méthodologies et principes clés qui font la force de l'organisation.
5. Simplicité et clarté: Veiller à ce que les directives soient faciles à comprendre et à appliquer pour éviter la lourdeur administrative."

GEM,Domaine Principal,Valeurs et principes fondamentaux qui guident les pratiques agiles.,CONTINUOUS IMPROVEMENT,Sous-domaine de GEM,Principe d'amélioration continue dans la démarche agile.,is_a,"1. Amélioration continue: Identifier et mettre en œuvre des améliorations de manière itérative.
2. Mesure et métriques: Définir et suivre des indicateurs pertinents pour évaluer les progrès.
3. Retours d'expérience: Organiser des sessions régulières pour partager les apprentissages.
4. Expérimentation: Tester de nouvelles approches et méthodes de travail.
5. Culture d'excellence: Promouvoir une mentalité d'amélioration constante."
GEM,Domaine Principal,Valeurs et principes fondamentaux qui guident les pratiques agiles.,TRANSPARENCY,Sous-domaine de GEM,Principe de transparence dans les informations et les processus.,is_a,"1. Communication ouverte: Favoriser le partage d'information à tous les niveaux.
2. Visibilité: Rendre les processus et décisions visibles et compréhensibles.
3. Accessibilité: Garantir l'accès aux informations pertinentes.
4. Feedback: Encourager les retours constructifs et la communication bidirectionnelle.
5. Documentation: Maintenir une documentation claire et à jour."
GEM,Domaine Principal,Valeurs et principes fondamentaux qui guident les pratiques agiles.,EMPOWERMENT,Sous-domaine de GEM,Principe d'autonomisation et de responsabilisation des équipes.,is_a,"1. Autonomie: Donner aux équipes le pouvoir de prendre des décisions.
2. Responsabilisation: Confier des responsabilités claires aux membres de l'équipe.
3. Formation: Développer les compétences et l'expertise des équipes.
4. Support: Fournir les ressources et le soutien nécessaires.
5. Confiance: Établir un climat de confiance et de respect mutuel."

ROLE,Domaine Principal,Rôles spécifiques associés aux méthodologies agiles.,PRODUCT OWNER,Sous-domaine de ROLE,Responsable de la définition et de la priorisation du backlog produit.,is_a,"1. Vision produit: Définir et communiquer la vision du produit.
2. Priorisation: Gérer et prioriser le backlog produit.
3. Stakeholders: Interagir avec les parties prenantes.
4. Valeur: Maximiser la valeur délivrée aux utilisateurs.
5. Décisions: Prendre les décisions concernant le produit."
ROLE,Domaine Principal,Rôles spécifiques associés aux méthodologies agiles.,SCRUM MASTER,Sous-domaine de ROLE,Facilitateur qui aide l'équipe à appliquer les principes Scrum.,is_a,"1. Facilitation: Animer les cérémonies et faciliter les interactions.
2. Coaching: Accompagner l'équipe dans l'adoption des pratiques agiles.
3. Obstacles: Identifier et aider à résoudre les obstacles.
4. Amélioration: Promouvoir l'amélioration continue.
5. Protection: Protéger l'équipe des perturbations externes."
ROLE,Domaine Principal,Rôles spécifiques associés aux méthodologies agiles.,DEVELOPER,Sous-domaine de ROLE,Membre de l'équipe qui développe teste et déploie les fonctionnalités.,is_a,"1. Développement: Créer des fonctionnalités de qualité.
2. Tests: Assurer la qualité du code et des fonctionnalités.
3. Collaboration: Travailler en équipe et partager les connaissances.
4. Innovation: Proposer des solutions techniques innovantes.
5. Maintenance: Maintenir et améliorer le code existant."
ROLE,Domaine Principal,Rôles spécifiques associés aux méthodologies agiles.,ARCHITECT,Sous-domaine de ROLE,Responsable de la structure technique et des choix architecturaux.,is_a,"1. Architecture: Concevoir l'architecture technique.
2. Standards: Définir les standards et bonnes pratiques.
3. Évolution: Planifier l'évolution technique.
4. Support: Accompagner les équipes sur les aspects techniques.
5. Veille: Assurer une veille technologique."
